TOTALS: 39 of 39 Precincts ,RegisteredVoters,BallotsCast,Turnout,Amanda Brand (REP),Rachel Hood (DEM),WriteIn
Totals,71093,46605,65%,17366,27009,132
Grand Rapids Ward 1 Precinct 3,1992,1336,67%,428,865,1
Grand Rapids Ward 1 Precinct 6,2149,1457,67%,653,734,1
Grand Rapids Ward 1 Precinct 7,937,622,66%,295,288,4
Grand Rapids Ward 1 Precinct 11,819,634,77%,302,301,2
Grand Rapids Ward 1 Precinct 14,2101,1271,60%,429,760,7
Grand Rapids Ward 1 Precinct 19,2134,990,46%,292,636,9
Grand Rapids Ward 1 Precinct 20,2160,1614,74%,805,728,4
Grand Rapids Ward 1 Precinct 21,1827,1363,74%,742,573,2
Grand Rapids Ward 1 Precinct 23,1820,1338,73%,677,584,2
Grand Rapids Ward 2 Precinct 26,1710,1009,59%,329,634,2
Grand Rapids Ward 2 Precinct 28,2027,1159,57%,325,783,8
Grand Rapids Ward 2 Precinct 31,2277,1205,52%,324,819,4
Grand Rapids Ward 2 Precinct 33,1072,742,69%,149,558,1
Grand Rapids Ward 2 Precinct 35,1960,1356,69%,551,743,6
Grand Rapids Ward 2 Precinct 37,2460,1635,66%,635,915,6
Grand Rapids Ward 2 Precinct 40,1864,1218,65%,192,968,6
"


Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

Ã—


",2477,2771,111%,1099,1516,14
Grand Rapids Ward 2 Precinct 42,1918,1359,70%,464,841,3
Grand Rapids Ward 2 Precinct 43,1741,1142,65%,465,611,5
Grand Rapids Ward 2 Precinct 44,1887,1259,66%,557,645,4
Grand Rapids Ward 2 Precinct 45,2124,1495,70%,716,706,2
Grand Rapids Ward 2 Precinct 46,2268,1248,55%,499,684,1
Grand Rapids Ward 2 Precinct 47,1676,1275,76%,491,720,2
Grand Rapids Ward 3 Precinct 51,1724,885,51%,277,572,1
Grand Rapids Ward 3 Precinct 53,2863,1739,60%,864,783,0
Grand Rapids Ward 3 Precinct 54,1502,1022,68%,473,506,0
Grand Rapids Ward 3 Precinct 55,2164,1449,66%,570,822,4
Grand Rapids Ward 3 Precinct 56,2007,1289,64%,537,693,1
Grand Rapids Ward 3 Precinct 57,1234,805,65%,262,502,2
Grand Rapids Ward 3 Precinct 58,1771,1130,63%,465,612,4
Grand Rapids Ward 3 Precinct 59,2393,1610,67%,512,1030,2
Grand Rapids Ward 3 Precinct 61,899,571,63%,114,429,2
Grand Rapids Ward 3 Precinct 64,1984,885,44%,188,655,5
Grand Rapids Ward 3 Precinct 65,2000,965,48%,261,654,1
Grand Rapids Ward 3 Precinct 68,1642,1135,69%,234,872,4
Grand Rapids Ward 3 Precinct 69,1359,983,72%,476,463,1
Grand Rapids Ward 3 Precinct 71,1695,957,56%,164,749,2
Grand Rapids Ward 3 Precinct 73,1165,766,65%,261,467,4
Grand Rapids Ward 3 Precinct 77,1291,916,70%,289,588,3
