TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,Tom Leonard (REP),Dana Nessel (DEM),Lisa Lane Gioia (LIB),Gerald T. Van Sickle (UST),Chris Graveline (NPA),Write In
Totals,459016,283519,61%,135015,125055,6824,2149,4606,421
Ada Township Precinct 1,1184,871,73%,481,335,12,3,15,2
Ada Township Precinct 2,2221,1588,71%,840,641,22,3,24,2
Ada Township Precinct 3,1308,942,72%,539,348,17,2,3,2
Ada Township Precinct 4,1038,785,75%,515,226,15,1,8,0
Ada Township Precinct 5,1910,1374,71%,844,440,35,6,14,2
Ada Township Precinct 6,892,612,68%,308,258,16,1,5,1
Ada Township Precinct 7,1078,793,73%,411,326,18,4,16,1
Ada Township Precinct 8,1120,816,72%,456,308,15,3,7,0
Algoma Township Precinct 1,1246,830,66%,534,220,18,11,19,0
Algoma Township Precinct 2,1512,1078,71%,698,295,18,10,13,1
Algoma Township Precinct 3,1597,1108,69%,715,299,20,15,19,2
Algoma Township Precinct 4,1731,1092,63%,596,381,33,13,20,0
Algoma Township Precinct 5,2098,1452,69%,809,495,27,11,25,0
Alpine Township Precinct 1,1052,688,65%,413,208,19,3,13,2
Alpine Township Precinct 2,1344,835,62%,368,374,28,7,18,1
Alpine Township Precinct 3,2208,1494,67%,749,607,38,12,36,3
Alpine Township Precinct 4,2164,1175,54%,653,423,30,9,18,0
Alpine Township Precinct 5,1013,694,68%,430,218,13,7,9,0
Alpine Township Precinct 6,1936,672,34%,145,430,39,6,16,5
Bowne Township Precinct 1,2363,1677,70%,1217,351,32,13,12,1
Byron Township Precinct 1,2421,1747,72%,1293,325,41,16,21,5
Byron Township Precinct 2,2599,1956,75%,1363,453,24,13,32,0
Byron Township Precinct 3,2685,1108,41%,495,488,34,20,22,2
Byron Township Precinct 4,2009,1514,75%,1174,260,25,11,15,0
Byron Township Precinct 5,2372,1731,72%,1326,303,29,7,16,0
Byron Township Precinct 6,1468,1077,73%,722,274,17,5,22,0
Byron Township Precinct 7,2234,1469,65%,963,403,30,11,18,2
Byron Township Precinct 8,2169,1526,70%,915,504,25,13,24,0
Caledonia Township Precinct 1,1133,758,66%,429,260,16,9,17,0
Caledonia Township Precinct 2,2162,1486,68%,978,393,27,11,12,0
Caledonia Township Precinct 3,2063,1480,71%,981,375,41,20,24,2
Caledonia Township Precinct 4,1291,953,73%,659,227,22,6,10,1
Caledonia Township Precinct 5,2334,1566,67%,1033,429,26,8,25,0
Caledonia Township Precinct 6,1871,1284,68%,766,411,26,12,17,1
Cannon Township Precinct 1,2060,1524,73%,935,484,27,3,25,0
Cannon Township Precinct 2,1931,1341,69%,828,409,36,8,23,1
Cannon Township Precinct 3,1591,1175,73%,682,408,31,3,11,3
Cannon Township Precinct 4,2241,1608,71%,1003,518,22,4,17,1
Cannon Township Precinct 5,1562,1147,73%,731,334,23,9,16,2
Cannon Township Precinct 6,1862,1343,72%,837,415,25,5,17,2
Cascade Charter Township Precinct 1,1348,1041,77%,651,327,11,5,16,0
Cascade Charter Township Precinct 2,1661,1245,74%,714,460,20,1,20,2
Cascade Charter Township Precinct 3,1105,849,76%,459,340,11,2,12,0
Cascade Charter Township Precinct 4,1619,1263,78%,678,499,26,4,11,0
Cascade Charter Township Precinct 5,2259,1714,75%,1039,569,25,9,25,0
Cascade Charter Township Precinct 6,1465,1097,74%,550,454,21,5,28,1
Cascade Charter Township Precinct 7,1187,792,66%,440,304,15,4,4,1
Cascade Charter Township Precinct 8,1292,1035,80%,516,458,15,3,16,2
Cascade Charter Township Precinct 9,1392,1098,78%,625,408,17,2,17,1
Cascade Charter Township Precinct 10,1318,974,73%,587,320,25,8,5,0
Cedar Springs Precinct 1,2310,1087,47%,606,349,40,17,29,3
Courtland Township Precinct 1,2011,1433,71%,855,482,27,6,17,2
Courtland Township Precinct 2,2201,1518,68%,959,410,33,15,35,0
Courtland Township Precinct 3,2268,1427,62%,920,402,28,12,20,1
East Grand Rapids Ward 1 Precinct 1,1509,1137,75%,451,639,10,1,13,2
East Grand Rapids Ward 1 Precinct 2,1476,1134,76%,507,568,13,2,17,1
East Grand Rapids Ward 2 Precinct 3,1514,1116,73%,441,604,12,2,19,0
East Grand Rapids Ward 2 Precinct 4,1391,1052,75%,388,594,22,3,14,2
East Grand Rapids Ward 3 Precinct 5,1476,1091,73%,385,638,19,1,18,0
East Grand Rapids Ward 3 Precinct 6,1506,1125,74%,377,685,11,3,15,0
Gaines Charter Township Precinct 1,2081,1502,72%,1079,327,28,8,14,0
Gaines Charter Township Precinct 2,1630,1069,65%,628,382,20,3,15,0
Gaines Charter Township Precinct 3,2172,1272,58%,807,374,30,9,19,3
Gaines Charter Township Precinct 4,2879,1178,40%,531,522,36,19,33,4
Gaines Charter Township Precinct 5,1905,937,49%,377,486,21,10,17,1
Gaines Charter Township Precinct 6,1965,1385,70%,951,363,25,10,14,0
Gaines Charter Township Precinct 7,2566,1811,70%,1194,496,41,10,22,3
Gaines Charter Township Precinct 8,2266,1430,63%,876,446,29,14,17,5
Gaines Charter Township Precinct 9,1764,1133,64%,551,521,18,5,12,1
Grand Rapids Ward 1 Precinct 1,2432,1089,44%,274,670,46,11,36,5
Grand Rapids Ward 1 Precinct 2,1324,516,38%,100,346,31,8,12,0
Grand Rapids Ward 1 Precinct 3,1992,1336,67%,431,825,29,6,15,3
Grand Rapids Ward 1 Precinct 4,1786,1157,64%,249,829,21,7,21,2
Grand Rapids Ward 1 Precinct 5,1312,691,52%,177,413,29,4,21,0
Grand Rapids Ward 1 Precinct 6,2149,1457,67%,658,673,28,13,23,2
Grand Rapids Ward 1 Precinct 7,937,622,66%,292,278,11,4,7,2
Grand Rapids Ward 1 Precinct 8,1265,920,72%,328,513,29,8,17,3
Grand Rapids Ward 1 Precinct 9,2671,895,33%,201,596,34,6,23,3
Grand Rapids Ward 1 Precinct 10,1757,1061,60%,384,582,25,7,23,0
Grand Rapids Ward 1 Precinct 11,819,634,77%,312,281,9,3,6,2
Grand Rapids Ward 1 Precinct 12,1895,732,38%,157,492,25,11,12,1
Grand Rapids Ward 1 Precinct 13,2150,940,43%,288,569,32,3,17,1
Grand Rapids Ward 1 Precinct 14,2101,1271,60%,428,693,61,7,28,3
Grand Rapids Ward 1 Precinct 15,2003,573,28%,70,446,19,9,7,1
Grand Rapids Ward 1 Precinct 16,2074,678,32%,99,510,14,9,15,1
Grand Rapids Ward 1 Precinct 17,2352,1170,49%,381,639,38,17,35,4
Grand Rapids Ward 1 Precinct 18,1152,438,38%,37,349,18,6,9,2
Grand Rapids Ward 1 Precinct 19,2134,990,46%,268,581,51,15,23,4
Grand Rapids Ward 1 Precinct 20,2160,1614,74%,839,662,34,10,21,5
Grand Rapids Ward 1 Precinct 21,1827,1363,74%,745,529,35,7,18,1
Grand Rapids Ward 1 Precinct 22,747,238,31%,35,174,9,3,3,0
Grand Rapids Ward 1 Precinct 23,1820,1338,73%,700,539,27,3,17,2
Grand Rapids Ward 1 Precinct 24,1782,479,26%,30,381,27,7,11,1
Grand Rapids Ward 2 Precinct 25,1324,797,60%,129,595,25,3,20,0
Grand Rapids Ward 2 Precinct 26,1710,1009,59%,333,587,22,4,18,2
Grand Rapids Ward 2 Precinct 27,1297,757,58%,209,456,32,7,20,2
Grand Rapids Ward 2 Precinct 28,2027,1159,57%,328,725,35,13,22,3
Grand Rapids Ward 2 Precinct 29,1926,806,41%,169,550,29,12,13,5
Grand Rapids Ward 2 Precinct 30,1694,1248,73%,349,797,38,7,23,2
Grand Rapids Ward 2 Precinct 31,2277,1205,52%,337,714,61,11,24,2
Grand Rapids Ward 2 Precinct 32,1428,746,52%,177,501,32,4,13,2
Grand Rapids Ward 2 Precinct 33,1072,742,69%,151,534,16,3,8,1
Grand Rapids Ward 2 Precinct 34,2128,1248,58%,392,757,25,4,28,0
Grand Rapids Ward 2 Precinct 35,1960,1356,69%,536,704,29,7,30,0
Grand Rapids Ward 2 Precinct 36,1025,560,54%,198,292,19,6,9,4
Grand Rapids Ward 2 Precinct 37,2460,1635,66%,613,884,45,10,26,3
Grand Rapids Ward 2 Precinct 38,2774,1449,52%,373,924,49,10,24,5
Grand Rapids Ward 2 Precinct 39,1064,600,56%,84,464,17,3,9,1
Grand Rapids Ward 2 Precinct 40,1864,1218,65%,187,944,35,1,15,1
"Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

Ã—

",2477,2771,111%,1065,1415,96,22,61,10
Grand Rapids Ward 2 Precinct 42,1918,1359,70%,460,772,34,11,28,0
Grand Rapids Ward 2 Precinct 43,1741,1142,65%,461,592,22,5,14,1
Grand Rapids Ward 2 Precinct 44,1887,1259,66%,554,584,32,12,29,1
Grand Rapids Ward 2 Precinct 45,2124,1495,70%,714,681,26,6,25,2
Grand Rapids Ward 2 Precinct 46,2268,1248,55%,497,658,26,6,28,1
Grand Rapids Ward 2 Precinct 47,1676,1275,76%,473,696,23,3,29,1
Grand Rapids Ward 2 Precinct 48,1482,840,56%,162,601,26,11,13,1
Grand Rapids Ward 2 Precinct 49,2046,1136,55%,191,847,35,6,17,0
Grand Rapids Ward 2 Precinct 50,2306,1432,62%,204,1133,36,5,17,2
Grand Rapids Ward 3 Precinct 51,1724,885,51%,255,545,23,6,18,3
Grand Rapids Ward 3 Precinct 52,915,521,56%,56,423,16,4,9,0
Grand Rapids Ward 3 Precinct 53,2863,1739,60%,879,750,34,4,21,0
Grand Rapids Ward 3 Precinct 54,1502,1022,68%,471,492,16,4,6,1
Grand Rapids Ward 3 Precinct 55,2164,1449,66%,575,774,24,6,14,2
Grand Rapids Ward 3 Precinct 56,2007,1289,64%,523,676,28,8,18,2
Grand Rapids Ward 3 Precinct 57,1234,805,65%,258,481,22,9,6,0
Grand Rapids Ward 3 Precinct 58,1771,1130,63%,476,579,15,6,22,2
Grand Rapids Ward 3 Precinct 59,2393,1610,67%,519,988,40,1,22,1
Grand Rapids Ward 3 Precinct 60,2375,1329,55%,155,1074,35,2,17,3
Grand Rapids Ward 3 Precinct 61,899,571,63%,122,407,14,3,7,0
Grand Rapids Ward 3 Precinct 62,1823,851,46%,127,643,26,8,16,0
Grand Rapids Ward 3 Precinct 63,1860,891,47%,95,722,20,6,16,2
Grand Rapids Ward 3 Precinct 64,1984,885,44%,193,613,19,8,17,3
Grand Rapids Ward 3 Precinct 65,2000,965,48%,253,627,28,8,20,1
Grand Rapids Ward 3 Precinct 66,2363,819,34%,48,702,20,11,10,2
Grand Rapids Ward 3 Precinct 67,2799,1032,36%,61,908,17,5,10,2
Grand Rapids Ward 3 Precinct 68,1642,1135,69%,237,827,19,2,11,0
Grand Rapids Ward 3 Precinct 69,1359,983,72%,489,438,11,2,11,1
Grand Rapids Ward 3 Precinct 70,1791,660,36%,28,566,21,8,11,2
Grand Rapids Ward 3 Precinct 71,1695,957,56%,167,730,12,1,14,1
Grand Rapids Ward 3 Precinct 72,871,603,69%,157,407,14,1,8,0
Grand Rapids Ward 3 Precinct 73,1165,766,65%,259,440,28,3,7,0
Grand Rapids Ward 3 Precinct 74,1371,808,58%,209,520,35,3,9,2
Grand Rapids Ward 3 Precinct 75,1209,602,49%,88,460,24,4,7,2
Grand Rapids Ward 3 Precinct 76,1577,653,41%,40,565,15,6,7,0
Grand Rapids Ward 3 Precinct 77,1291,916,70%,299,559,16,4,11,1
Grand Rapids Charter Township Precinct 1,1513,1075,71%,655,371,13,1,10,2
Grand Rapids Charter Township Precinct 2,1016,738,72%,387,307,15,3,5,0
Grand Rapids Charter Township Precinct 3,1812,1358,74%,701,586,18,4,18,0
Grand Rapids Charter Township Precinct 4,1733,1263,72%,628,548,29,5,21,2
Grand Rapids Charter Township Precinct 5,1863,1364,73%,650,626,25,2,19,2
Grand Rapids Charter Township Precinct 6,1720,1276,74%,645,536,33,3,17,4
Grand Rapids Charter Township Precinct 7,1043,669,64%,352,265,15,3,14,2
Grand Rapids Charter Township Precinct 8,1783,1300,72%,705,533,16,2,14,0
Grand Rapids Charter Township Precinct 9,1156,892,77%,534,313,11,0,8,1
Grandville Precinct 1,1577,1029,65%,552,386,23,8,15,5
Grandville Precinct 2,2014,1232,61%,663,470,37,7,11,2
Grandville Precinct 3,2197,1391,63%,811,450,29,10,30,0
Grandville Precinct 4,1979,1483,74%,909,473,37,8,16,1
Grandville Precinct 5,2147,1489,69%,904,487,16,13,24,4
Grandville Precinct 6,1655,1182,71%,742,373,18,6,13,3
Grattan Township Precinct 1,1502,993,66%,646,258,26,18,13,2
Grattan Township Precinct 2,1598,1133,70%,625,411,27,8,17,0
Kentwood Ward 1 Precinct 1,2072,1009,48%,463,457,30,11,11,4
Kentwood Ward 1 Precinct 2,2787,1711,61%,728,825,44,13,33,8
Kentwood Ward 1 Precinct 3,1524,971,63%,438,454,20,10,14,0
Kentwood Ward 1 Precinct 4,1385,654,47%,230,342,23,11,12,1
Kentwood Ward 1 Precinct 5,1192,647,54%,291,287,25,4,9,3
Kentwood Ward 1 Precinct 6,2226,1085,48%,494,481,32,16,15,3
Kentwood Ward 1 Precinct 7,1944,1075,55%,400,591,27,4,26,3
Kentwood Ward 1 Precinct 8,2348,1578,67%,759,721,30,5,21,0
Kentwood Ward 1 Precinct 9,2145,1149,53%,427,627,29,10,18,7
Kentwood Ward 2 Precinct 10,2150,1401,65%,617,687,34,8,20,0
Kentwood Ward 2 Precinct 11,2803,1759,62%,757,876,40,12,23,0
Kentwood Ward 2 Precinct 12,1551,929,59%,328,531,18,9,16,0
Kentwood Ward 2 Precinct 13,2030,1207,59%,569,566,18,8,5,3
Kentwood Ward 2 Precinct 14,787,514,65%,228,237,16,6,11,0
Kentwood Ward 2 Precinct 15,2618,1231,47%,319,795,40,12,24,4
Kentwood Ward 2 Precinct 16,2612,1825,69%,873,841,28,6,28,3
Kentwood Ward 2 Precinct 17,1674,765,45%,248,462,16,5,9,0
Kentwood Ward 2 Precinct 18,2017,1003,49%,315,581,30,8,24,2
Lowell Precinct 1,1606,965,60%,455,411,35,12,26,4
Lowell Precinct 2,1377,738,53%,394,282,27,1,13,0
Lowell Charter Township Precinct 1,2438,1661,68%,996,524,36,15,25,0
Lowell Charter Township Precinct 2,2269,1350,59%,702,517,47,18,22,4
Nelson Township Precinct 1,2306,1112,48%,659,337,32,25,20,3
Nelson Township Precinct 2,1580,968,61%,614,275,15,8,14,1
Oakfield Township Precinct 1,1557,983,63%,578,323,23,10,13,2
Oakfield Township Precinct 2,1812,1080,59%,670,316,25,12,19,1
Oakfield Township Precinct 3 ,1321,783,59%,458,251,19,12,10,1
Plainfield Charter Township Precinct 1,2614,1944,74%,1094,684,35,10,39,1
Plainfield Charter Township Precinct 2,2249,1437,63%,808,503,30,11,17,4
Plainfield Charter Township Precinct 3,2112,1215,57%,578,502,31,18,23,3
Plainfield Charter Township Precinct 4,2300,1467,63%,726,611,32,10,25,0
Plainfield Charter Township Precinct 5,2123,1393,65%,666,579,49,11,32,2
Plainfield Charter Township Precinct 6,3012,2043,67%,1204,672,42,22,41,1
Plainfield Charter Township Precinct 7,2717,1948,71%,1138,697,22,3,33,2
Plainfield Charter Township Precinct 8,2819,1909,67%,920,811,50,21,33,0
Plainfield Charter Township Precinct 9,2445,1611,65%,892,599,36,20,20,0
Plainfield Charter Township Precinct 10,1777,1345,75%,769,471,32,6,20,0
Plainfield Charter Township Precinct 11,1706,1286,75%,735,458,30,7,24,1
Rockford Precinct 1,1866,1204,64%,578,519,32,10,13,1
Rockford Precinct 2,2510,1730,68%,860,723,49,7,19,2
Solon Township Precinct 1,1814,1095,60%,677,320,22,14,18,2
Solon Township Precinct 2,2765,1630,58%,1034,440,45,24,34,5
Sparta Township Precinct 1,2898,1650,56%,845,571,64,32,58,4
Sparta Township Precinct 2,1516,912,60%,593,237,20,12,18,0
Sparta Township Precinct 3,1969,1135,57%,687,319,26,20,23,2
Spencer Township Precinct 1,2952,1803,61%,1122,519,29,27,33,7
Tyrone Township Precinct 1,1760,1063,60%,677,267,31,23,26,2
Tyrone Township Precinct 2,1401,819,58%,534,217,15,11,9,1
Vergennes Township Precinct 1,1870,1365,72%,857,408,30,12,12,0
Vergennes Township Precinct 2,1653,1167,70%,696,376,24,10,23,3
Walker Ward 1 Precinct 1,2037,997,48%,362,530,41,8,21,5
Walker Ward 1 Precinct 2,1733,1176,67%,631,443,32,14,16,0
Walker Ward 1 Precinct 3,1996,1316,65%,619,574,41,12,22,9
Walker Ward 2 Precinct 4,2243,1567,69%,907,534,26,13,15,1
Walker Ward 2 Precinct 5,1904,1341,70%,771,443,36,12,21,0
Walker Ward 2 Precinct 6,1880,1193,63%,643,420,33,12,24,2
Walker Ward 3 Precinct 7,1966,1352,68%,671,542,40,11,23,3
Walker Ward 3 Precinct 8,1759,1268,72%,801,377,25,9,15,0
Walker Ward 3 Precinct 9,1981,1274,64%,649,522,35,7,22,0
Wyoming Ward 1 Precinct 1,1870,915,48%,359,462,26,12,22,2
Wyoming Ward 1 Precinct 2,1311,535,40%,186,276,18,12,17,2
Wyoming Ward 1 Precinct 3,2130,940,44%,331,494,35,20,22,1
Wyoming Ward 1 Precinct 4,2019,1071,53%,469,494,26,15,19,4
Wyoming Ward 1 Precinct 5,2086,1037,49%,412,518,25,14,30,2
Wyoming Ward 1 Precinct 6,1502,729,48%,274,371,21,14,22,2
Wyoming Ward 1 Precinct 7,1890,1143,60%,609,436,37,11,22,1
Wyoming Ward 1 Precinct 8,1230,576,46%,258,255,26,8,6,1
Wyoming Ward 1 Precinct 9,2268,1029,45%,378,515,45,16,32,2
Wyoming Ward 2 Precinct 10,1478,665,44%,226,376,18,13,11,0
Wyoming Ward 2 Precinct 11,1351,568,42%,157,341,18,10,13,3
Wyoming Ward 2 Precinct 12,1280,508,39%,173,277,19,8,11,2
Wyoming Ward 2 Precinct 13,1666,873,52%,376,417,22,11,22,0
Wyoming Ward 2 Precinct 14,1166,666,57%,338,254,24,9,18,0
Wyoming Ward 2 Precinct 15,968,530,54%,219,247,24,2,16,1
Wyoming Ward 2 Precinct 16,1352,771,57%,360,328,32,4,12,5
Wyoming Ward 2 Precinct 17,1923,793,41%,255,443,34,7,17,2
Wyoming Ward 2 Precinct 18,1211,667,55%,289,311,18,5,15,0
Wyoming Ward 2 Precinct 19,1853,1047,56%,433,515,29,10,19,5
Wyoming Ward 2 Precinct 20,1939,1002,51%,415,464,42,10,33,3
Wyoming Ward 3 Precinct 21,2306,1266,54%,618,517,34,15,21,4
Wyoming Ward 3 Precinct 22,1327,781,58%,370,336,14,10,22,1
Wyoming Ward 3 Precinct 23,2223,1060,47%,421,541,30,12,23,3
Wyoming Ward 3 Precinct 24,2330,1202,51%,566,516,43,14,19,0
Wyoming Ward 3 Precinct 25,1673,1175,70%,704,394,20,4,10,1
Wyoming Ward 3 Precinct 26,1254,791,63%,393,334,24,8,11,2
Wyoming Ward 3 Precinct 27,1233,767,62%,412,298,14,4,15,0
Wyoming Ward 3 Precinct 28,1984,1344,67%,786,450,28,13,22,4
Wyoming Ward 3 Precinct 29,1566,1104,70%,639,391,26,8,7,2
Wyoming Ward 3 Precinct 30,1989,1405,70%,882,430,20,3,23,1
