TOTALS: 77 of 77 Precincts ,RegisteredVoters,BallotsCast,Turnout,MichaelJ.Distel,JeanineN.LaVille,WriteIn
Totals,137243,78568,57%,38454,48333,1308
Grand Rapids  Ward 1  Precinct 1,2432,1089,44%,497,641,29
Grand Rapids  Ward 1  Precinct 2,1324,516,38%,248,314,12
Grand Rapids  Ward 1  Precinct 3,1992,1336,67%,686,848,10
Grand Rapids  Ward 1  Precinct 4,1786,1157,64%,574,734,1
Grand Rapids  Ward 1  Precinct 5,1312,691,52%,308,406,11
Grand Rapids  Ward 1  Precinct 6,2149,1457,67%,773,916,13
Grand Rapids  Ward 1  Precinct 7,937,622,66%,329,353,7
Grand Rapids  Ward 1  Precinct 8,1265,920,72%,466,555,12
Grand Rapids  Ward 1  Precinct 9,2671,895,33%,403,542,20
Grand Rapids  Ward 1  Precinct 10,1757,1061,60%,533,652,20
Grand Rapids  Ward 1  Precinct 11,819,634,77%,351,374,6
Grand Rapids  Ward 1  Precinct 12,1895,732,38%,276,381,14
Grand Rapids  Ward 1  Precinct 13,2150,940,43%,444,550,16
Grand Rapids  Ward 1  Precinct 14,2101,1271,60%,600,798,18
Grand Rapids  Ward 1  Precinct 15,2003,573,28%,257,382,13
Grand Rapids  Ward 1  Precinct 16,2074,678,32%,292,454,9
Grand Rapids  Ward 1  Precinct 17,2352,1170,49%,573,701,19
Grand Rapids  Ward 1  Precinct 18,1152,438,38%,164,284,25
Grand Rapids  Ward 1  Precinct 19,2134,990,46%,476,619,28
Grand Rapids  Ward 1  Precinct 20,2160,1614,74%,899,1014,19
Grand Rapids  Ward 1  Precinct 21,1827,1363,74%,798,823,17
Grand Rapids  Ward 1  Precinct 22,747,238,31%,99,142,14
Grand Rapids  Ward 1  Precinct 23,1820,1338,73%,764,768,10
Grand Rapids  Ward 1  Precinct 24,1782,479,26%,162,285,10
Grand Rapids  Ward 2  Precinct 25,1324,797,60%,345,471,20
Grand Rapids  Ward 2  Precinct 26,1710,1009,59%,522,641,14
Grand Rapids  Ward 2  Precinct 27,1297,757,58%,356,437,13
Grand Rapids  Ward 2  Precinct 28,2027,1159,57%,562,705,17
Grand Rapids  Ward 2  Precinct 29,1926,806,41%,364,508,17
Grand Rapids  Ward 2  Precinct 30,1694,1248,73%,586,735,8
Grand Rapids  Ward 2  Precinct 31,2277,1205,52%,517,688,17
Grand Rapids  Ward 2  Precinct 32,1428,746,52%,319,439,12
Grand Rapids  Ward 2  Precinct 33,1072,742,69%,322,424,13
Grand Rapids  Ward 2  Precinct 34,2128,1247,58%,614,788,25
Grand Rapids  Ward 2  Precinct 35,1960,1356,69%,760,839,17
Grand Rapids  Ward 2  Precinct 36,1025,560,54%,261,342,12
Grand Rapids  Ward 2  Precinct 37,2460,1635,66%,878,926,20
Grand Rapids  Ward 2  Precinct 38,2774,1449,52%,593,835,41
Grand Rapids  Ward 2  Precinct 39,1064,600,56%,243,343,7
Grand Rapids  Ward 2  Precinct 40,1864,1218,65%,491,716,21
"

Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

Ã—


",2477,2771,111%,1477,1644,43
Grand Rapids  Ward 2  Precinct 42,1918,1359,70%,654,833,11
Grand Rapids  Ward 2  Precinct 43,1741,1142,65%,591,674,8
Grand Rapids  Ward 2  Precinct 44,1887,1259,66%,707,850,8
Grand Rapids  Ward 2  Precinct 45,2124,1495,70%,862,937,10
Grand Rapids  Ward 2  Precinct 46,2268,1248,55%,666,821,28
Grand Rapids  Ward 2  Precinct 47,1676,1275,76%,713,797,8
Grand Rapids  Ward 2  Precinct 48,1482,839,56%,387,508,12
Grand Rapids  Ward 2  Precinct 49,2046,1136,55%,473,633,28
Grand Rapids  Ward 2  Precinct 50,2306,1432,62%,629,867,22
Grand Rapids  Ward 3  Precinct 51,1724,885,51%,450,556,25
Grand Rapids  Ward 3  Precinct 52,915,521,56%,227,320,12
Grand Rapids  Ward 3  Precinct 53,2863,1739,60%,1007,1060,13
Grand Rapids  Ward 3  Precinct 54,1502,1022,68%,530,648,16
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,779,898,18
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,712,889,9
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,426,526,6
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,615,720,21
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,834,1016,16
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,587,828,28
Grand Rapids  Ward 3  Precinct 61,899,571,63%,273,349,3
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,378,589,23
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,400,604,13
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,400,574,27
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,484,630,18
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,318,492,36
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,380,709,31
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,536,718,19
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,555,587,7
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,234,414,35
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,412,577,40
Grand Rapids  Ward 3  Precinct 72,871,603,69%,279,357,10
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,405,457,10
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,371,498,19
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,266,390,10
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,269,409,25
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,463,581,13
